Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
1196428,01/01/2023,SALARY,,01/01/2023,,140000.00,140000.00
1196428,01/01/2023,MAX BUPA HEALTH INSURANCE,704273,01/01/2023,14160.00,,125840.00
1196428,01/01/2023,EMI Phone(2/12),,01/01/2023,6000.00,,119840.00
1196428,01/01/2023,RENT,,01/01/2023,25000.00,,94840.00
1196428,01/01/2023,EMI Personal loan(10/36),,01/01/2023,7000.00,,87840.00
1196428,01/01/2023,EMI Shopping(1/6),,01/01/2023,10000.00,,77840.00
1196428,02/01/2023,CASHWITH,,02/01/2023,5000.00,,72840.00
1196428,02/01/2023,POS INSTAMART,,02/01/2023,223.00,,72617.00
1196428,03/01/2023,POS CAB SERVICES,,03/01/2023,1378.00,,71239.00
1196428,03/01/2023,SWIGGY,,03/01/2023,1321.21,,69917.79
1196428,03/01/2023,POS INSTAMART,,03/01/2023,1416.23,,68501.56
1196428,03/01/2023,POS CAB SERVICES,,03/01/2023,386.88,,68114.68
1196428,03/01/2023,SHOPPING,,03/01/2023,448.39,,67666.29
1196428,03/01/2023,SWIGGY,,03/01/2023,779.99,,66886.30
1196428,04/01/2023,POS INSTAMART,,04/01/2023,186.00,,66700.30
1196428,04/01/2023,POS CAB SERVICES,,04/01/2023,646.99,,66053.31
1196428,04/01/2023,SHOPPING,,04/01/2023,1584.99,,64468.32
1196428,04/01/2023,SWIGGY,,04/01/2023,890.00,,63578.32
1196428,07/01/2023,POS INSTAMART,,07/01/2023,905.00,,62673.32
1196428,07/01/2023,POS CAB SERVICES,,07/01/2023,257.00,,62416.32
1196428,07/01/2023,SWIGGY,,07/01/2023,604.00,,61812.32
1196428,08/01/2023,POS INSTAMART,,08/01/2023,485.00,,61327.32
1196428,08/01/2023,SHOPPING,,08/01/2023,1029.15,,60298.17
1196428,08/01/2023,SWIGGY,,08/01/2023,46.45,,60251.72
1196428,09/01/2023,POS CAB SERVICES,704310,09/01/2023,220.00,,60031.72
1196428,10/01/2023,SHOPPING,,10/01/2023,2452.00,,57579.72
1196428,10/01/2023,TATA AIG GENERAL INSURANCE,704307,10/01/2023,2416.00,,55163.72
1196428,10/01/2023,SWIGGY,,10/01/2023,468.13,,54695.59
1196428,11/01/2023,POS INSTAMART,,11/01/2023,591.22,,54104.37
1196428,11/01/2023,POS CAB SERVICES,,11/01/2023,554.00,,53550.37
1196428,11/01/2023,SWIGGY,,11/01/2023,1114.57,,52435.80
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,1194.85,,51240.95
1196428,15/01/2023,SHOPPING,,15/01/2023,120.00,,51120.95
1196428,15/01/2023,POS INSTAMART,,15/01/2023,803.85,,50317.10
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,1060.51,,49256.59
